mapblklot,analysis_neighborhood
4870019,Bayview Hunters Point
4870021,Bayview Hunters Point
4890007,Bayview Hunters Point
4868008,Bayview Hunters Point
4870006,Bayview Hunters Point
4868007,Bayview Hunters Point
4890002,Bayview Hunters Point
4871009,Bayview Hunters Point
4871008,Bayview Hunters Point
4890004,Bayview Hunters Point
4871010,Bayview Hunters Point
4870020,Bayview Hunters Point
4871007,Bayview Hunters Point
4870023,Bayview Hunters Point
4871006,Bayview Hunters Point
4890006,Bayview Hunters Point
4871021,Bayview Hunters Point
4868019,Bayview Hunters Point
4890005,Bayview Hunters Point
4868003,Bayview Hunters Point
4870011,Bayview Hunters Point
4868014,Bayview Hunters Point
4868009,Bayview Hunters Point
4870009,Bayview Hunters Point
4868016,Bayview Hunters Point
4870022,Bayview Hunters Point
4871004,Bayview Hunters Point
4868010,Bayview Hunters Point
4871024,Bayview Hunters Point
4890010,Bayview Hunters Point
4868023,Bayview Hunters Point
4871001,Bayview Hunters Point
4871003,Bayview Hunters Point
4890009,Bayview Hunters Point
4868002,Bayview Hunters Point
0494024,Marina
6521010,Mission
1730001C,Sunset/Parkside
9900041H,North Beach
1432037,Inner Richmond
1417022,Outer Richmond
1763019C,Inner Sunset
8715003,Mission Bay
1112021,Lone Mountain/USF
3598033,Mission
3721080,Financial District/South Beach
7330011,Lakeshore
5992A073,Portola
8936001,Treasure Island
1663028A,Outer Richmond
7331044,Lakeshore
5610A037,Bernal Heights
6590036,Noe Valley
1197021,Lone Mountain/USF
1415016B,Outer Richmond
3774123,Financial District/South Beach
5871008,Excelsior
0660031,Pacific Heights
8927002,Treasure Island
0830003,Hayes Valley
5045003,Bayview Hunters Point
7549007,Glen Park
1939040,Treasure Island
2622046,Castro/Upper Market
0931019,Marina
1182009,Hayes Valley
2623039,Castro/Upper Market
0521007,Marina
3588019,Mission
0208065,Chinatown
0914002,Marina
5336001,Bayview Hunters Point
3513037A,Mission
3537031,Castro/Upper Market
1639018,Inner Richmond
1458015,Outer Richmond
2400063,Sunset/Parkside
0147021,Chinatown
2631073,Inner Sunset
9900003,Financial District/South Beach
8702004,Mission Bay
1212005,Lone Mountain/USF
5046005,Bayview Hunters Point
3505033,Mission
6545009,Noe Valley
1668023,Outer Richmond
3725126,South of Market
0914081,Marina
1193048,Lone Mountain/USF
3582121,Castro/Upper Market
4071016,Potrero Hill
3180004,West of Twin Peaks
4849001,Bayview Hunters Point
1939113,Treasure Island
0937007,Marina
0832093,Hayes Valley
6537026,Noe Valley
0285019,Financial District/South Beach
2844009,Twin Peaks
1924012,Sunset/Parkside
1661010,Outer Richmond
3537165,Castro/Upper Market
4591D025,Bayview Hunters Point
0068032,Russian Hill
1742005,Inner Sunset
3603072,Castro/Upper Market
1152031,Western Addition
4347010,Bayview Hunters Point
6753062,Outer Mission
4591D019,Bayview Hunters Point
1221052,Haight Ashbury
1766002,Inner Sunset
8906004,Treasure Island
1450047,Outer Richmond
0982002,Pacific Heights
3780110,South of Market
0930005,Marina
2406031A,Sunset/Parkside
6526022,Mission
1380003,Outer Richmond
1255048,Haight Ashbury
3736077,Financial District/South Beach
1217034,Haight Ashbury
6554006,Noe Valley
0459063,Marina
2751041,Castro/Upper Market
3555048,Mission
4591D031,Bayview Hunters Point
1344022,Seacliff
4217021,Potrero Hill
1546010A,Inner Richmond
3703079,South of Market
2386057,Sunset/Parkside
1939019,Treasure Island
0860078,Hayes Valley
5335ACOML,Bayview Hunters Point
0464A010,Marina
1134011,Lone Mountain/USF
7331093,Lakeshore
4591D060,Bayview Hunters Point
2987A002,West of Twin Peaks
1250014,Haight Ashbury
1267095,Haight Ashbury
3520009,South of Market
2607107,Castro/Upper Market
3656063,Noe Valley
3503004,Mission
3568050,Mission
4175005,Potrero Hill
2653030,Castro/Upper Market
6652022,Glen Park
0814009,Tenderloin
0603021,Pacific Heights
0629021C,Pacific Heights
3941021,Potrero Hill
3510201,South of Market
2620015,Castro/Upper Market
6612024,Noe Valley
0757025,Western Addition
5062007,Bayview Hunters Point
3154038,Outer Mission
4102062,Potrero Hill
0855103,Hayes Valley
0098013,Russian Hill
0533038,Marina
3600042,Castro/Upper Market
5952002,Excelsior
2619087,Castro/Upper Market
3549096,Mission
2048044,Inner Sunset
4295008,Bayview Hunters Point
3594015,Mission
0793040,Hayes Valley
7331036,Lakeshore
3572036,Mission
1152011,Western Addition
0182061,Nob Hill
1266061,Inner Sunset
0351032,Tenderloin
0793079,Hayes Valley
1939050,Treasure Island
3589105,Mission
6504031,Noe Valley
0740011,Tenderloin
3615107,Mission
5745010,Bernal Heights
3728025,South of Market
0196018,Chinatown
1564001C,Outer Richmond
6208021,Visitacion Valley
0868073,Hayes Valley
5529047,Bernal Heights
6663001,Glen Park
0281020,Nob Hill
1036023,Presidio Heights
4059002A,Potrero Hill
0477017,Russian Hill
6513043,Mission
4844022,Bayview Hunters Point
4591D137,Bayview Hunters Point
0282004B,Nob Hill
4591C226,Bayview Hunters Point
0935018,Marina
4208008,Mission
6472022,Excelsior
5387009,Bayview Hunters Point
2715083,Twin Peaks
2094004,Sunset/Parkside
2623003,Castro/Upper Market
0830030,Hayes Valley
6361014,Visitacion Valley
0588028,Pacific Heights
0297010,Nob Hill
0761066,Western Addition
1174037,Lone Mountain/USF
0868008A,Hayes Valley
3730078,South of Market
0822025,Hayes Valley
1450008,Outer Richmond
5745030,Bernal Heights
1251015,Haight Ashbury
4791007A,Bayview Hunters Point
8709006,Mission Bay
3639115,Mission
2409062,West of Twin Peaks
3154058,Outer Mission
3568069,Mission
1175005,Lone Mountain/USF
3211057,Outer Mission
1223024,Haight Ashbury
0519008,Marina
1629022,Outer Richmond
4217031,Potrero Hill
1939176,Treasure Island
5000042,Bayview Hunters Point
1293003,Inner Sunset
3576195,Mission
1750016,Inner Sunset
3577043,Mission
0872005,Hayes Valley
2755017C,Twin Peaks
6923031,West of Twin Peaks
3638087,Mission
3595012,Mission
3753703,South of Market
3545093,Mission
4336009,Mission
0282018,Nob Hill
4045003B,Potrero Hill
7074006,Oceanview/Merced/Ingleside
0031003,North Beach
1250003,Haight Ashbury
0126061,Nob Hill
6601004A,Noe Valley
0100035,Russian Hill
0067010,Russian Hill
2737COM,Inner Sunset
1044018,Presidio Heights
0512091,Marina
4045002,Potrero Hill
3721053,Financial District/South Beach
8722007,Mission Bay
0749004,Western Addition
0848002E,Hayes Valley
5633003,Bernal Heights
4605003,Bayview Hunters Point
3578069,Mission
7114042,Oceanview/Merced/Ingleside
1149035,Lone Mountain/USF
2719013,Castro/Upper Market
0149017,Nob Hill
0546012E,Marina
1681006O,Outer Richmond
4099061,Potrero Hill
0155062,Russian Hill
3584081,Castro/Upper Market
3517038,South of Market
1939055,Treasure Island
1147019,Lone Mountain/USF
1924007,Sunset/Parkside
0044002A,Russian Hill
1190001G,Lone Mountain/USF
1198062,Lone Mountain/USF
6665027A,Glen Park
2702016,Castro/Upper Market
4912023,Bayview Hunters Point
4262003,Mission
7155043,Outer Mission
3580069,Castro/Upper Market
0503014,Marina
4143003,Mission
6594031,Noe Valley
0546012C,Marina
4763055,Bayview Hunters Point
0488A058,Marina
1734057,Inner Sunset
0336018,Tenderloin
8930002,Treasure Island
2046013,Inner Sunset
4912016,Bayview Hunters Point
6520030,Mission
7541009,Glen Park
4591C046,Bayview Hunters Point
0601001,Pacific Heights
0919001L,Marina
2516016,Sunset/Parkside
3941042,Potrero Hill
0517051,Marina
5017020,Bayview Hunters Point
7153008A,Outer Mission
8954183,Treasure Island
0526003,Russian Hill
3561027,Castro/Upper Market
6951008B,Outer Mission
1149029,Lone Mountain/USF
2650081,Castro/Upper Market
4087043,Mission
1369066,Inner Richmond
3589056,Mission
6800046,Outer Mission
1193045,Lone Mountain/USF
5641005,Bernal Heights
4052009,Potrero Hill
3180215,West of Twin Peaks
6423007,Excelsior
4591C117,Bayview Hunters Point
0507053,Marina
1087020,Lone Mountain/USF
6637027C,Noe Valley
1275043A,Inner Sunset
6356065,Visitacion Valley
4591A082,Bayview Hunters Point
3745011,Financial District/South Beach
1521012,Outer Richmond
1272020,Haight Ashbury
3641072,Mission
3564045,Castro/Upper Market
1003041,Pacific Heights
4579001,Bayview Hunters Point
4624444,Bayview Hunters Point
0166006,Financial District/South Beach
1376070,Outer Richmond
4913024,Bayview Hunters Point
0633017,Pacific Heights
2623038,Castro/Upper Market
5535032,Bernal Heights
6770023,West of Twin Peaks
3702037,South of Market
4037028,Potrero Hill
4067011,Potrero Hill
0681031,Japantown
6618038,Noe Valley
4587019,Bayview Hunters Point
5431A019,Bayview Hunters Point
5607043,Bernal Heights
4224033,Potrero Hill
4228079,Potrero Hill
2040039,Inner Sunset
0196029,Chinatown
5514038,Bernal Heights
2612018,Castro/Upper Market
1081028,Presidio Heights
5541028,Bernal Heights
5535033,Bernal Heights
6409005,Excelsior
0479009E,Marina
0662020,Pacific Heights
4700079,Bayview Hunters Point
1519015,Outer Richmond
1939026,Treasure Island
0681002,Japantown
0982080,Pacific Heights
1363006,Inner Richmond
0439A010,Marina
0834005,Hayes Valley
5000018,Bayview Hunters Point
3605077,Castro/Upper Market
4591C113,Bayview Hunters Point
0488A044,Marina
1939162,Treasure Island
3785001,Mission Bay
0339002,Tenderloin
8945003,Treasure Island
1279093,Haight Ashbury
1260023,Haight Ashbury
1288020,Haight Ashbury
5360018,Bayview Hunters Point
5550014B,Bernal Heights
2689017,Castro/Upper Market
1231026,Haight Ashbury
1109002A,Lone Mountain/USF
0858025,Hayes Valley
8707005,Mission Bay
6747028,Outer Mission
7326004,Lakeshore
0689002,Western Addition
0635022,Pacific Heights
0841030,Hayes Valley
6395013,Excelsior
0497007E,Marina
0089023,North Beach
0463A013,Marina
7331038,Lakeshore
1255064,Haight Ashbury
0477017A,Russian Hill
4598009,Bayview Hunters Point
0100013,Russian Hill
6969007M,Outer Mission
7135018,Oceanview/Merced/Ingleside
5350040,Bayview Hunters Point
3605146,Castro/Upper Market
6574001A,Bernal Heights
0918002K,Marina
0651022,Pacific Heights
3725077,South of Market
0875005,Hayes Valley
1664013,Outer Richmond
1176006,Lone Mountain/USF
5559005,Bayview Hunters Point
0306044,Tenderloin
5406013,Bayview Hunters Point
4591C610,Bayview Hunters Point
3521007,Mission
3517034,South of Market
5335ACOMI,Bayview Hunters Point
6745070,Glen Park
3590005,Mission
5657035,Bernal Heights
1439072,Inner Richmond
2698022,Castro/Upper Market
6564008,Noe Valley
3538008,Castro/Upper Market
4093016,Potrero Hill
5588A002A,Bayview Hunters Point
3612132,Mission
1273036,Haight Ashbury
7331020,Lakeshore
1432005,Inner Richmond
7331029,Lakeshore
0914005A,Marina
3509089,South of Market
3598049A,Mission
0271001C,Financial District/South Beach
3577015,Mission
1570011A,Outer Richmond
7331045,Lakeshore
0617009,Pacific Heights
3987015,Potrero Hill
1672039,Outer Richmond
2618046,Castro/Upper Market
3521055,Mission
0480029,Marina
1837032,Inner Sunset
0113017B,North Beach
0092044,Russian Hill
4244005,Potrero Hill
1026002,Pacific Heights
4586003,Bayview Hunters Point
9900200,Financial District/South Beach
2040001,Inner Sunset
4006010,Potrero Hill
1290009A,Inner Sunset
5000001,Bayview Hunters Point
4877003,Bayview Hunters Point
1402022,Outer Richmond
1187005A,Lone Mountain/USF
2707007,Twin Peaks
0460A017,Marina
3553048,Mission
3728194,South of Market
4206002A,Mission
6913A001,West of Twin Peaks
3180720,West of Twin Peaks
3977001G,Potrero Hill
0451006,Russian Hill
1177029,Lone Mountain/USF
7530COMA,Glen Park
3582083,Castro/Upper Market
0511064,Marina
1275003,Inner Sunset
2040040,Inner Sunset
3616053,Mission
3575120,Mission
1457035,Outer Richmond
1364023,Inner Richmond
5392015,Bayview Hunters Point
6601036,Noe Valley
1727006,Sunset/Parkside
6594003,Noe Valley
3616012,Mission
6131039,Portola
5825009,Bernal Heights
4591C210,Bayview Hunters Point
6750056,Outer Mission
3283190,West of Twin Peaks
0076005,North Beach
7331043,Lakeshore
3631035,Mission
6693001,Glen Park
6524039,Mission
4211044,Mission
3521025,Mission
0527004,Marina
0792021,Hayes Valley
6592076,Noe Valley
1515010C,Outer Richmond
7331026,Lakeshore
3547022,Mission
0822080,Hayes Valley
5550046,Bernal Heights
4161067,Potrero Hill
8946005,Treasure Island
3600076,Castro/Upper Market
4624454,Bayview Hunters Point
1253040,Haight Ashbury
2779007,Twin Peaks
3534069,Mission
1191028,Lone Mountain/USF
0282010,Nob Hill
0051010,North Beach
6565043,Noe Valley
6034034,Portola
3537067,Castro/Upper Market
0676036,Pacific Heights
1406030,Outer Richmond
3755088,South of Market
1537019,Inner Richmond
0854010,Hayes Valley
2622066,Castro/Upper Market
1158002,Lone Mountain/USF
0533011,Marina
7331035,Lakeshore
2034A011,Inner Sunset
6504035,Noe Valley
3634020A,Mission
5237041,Bayview Hunters Point
1197016,Lone Mountain/USF
3564207,Castro/Upper Market
0519026,Marina
1635019,Inner Richmond
1563003,Outer Richmond
1290014,Inner Sunset
3739011,Financial District/South Beach
8703001,Mission Bay
0807001B,Hayes Valley
1637012A,Inner Richmond
3617019,Mission
1289076,Inner Sunset
0330005,Tenderloin
2361036,Sunset/Parkside
0525025,Russian Hill
4572013,Bayview Hunters Point
4968036,Bayview Hunters Point
7346001,Lakeshore
1841034,Inner Sunset
2828038,Noe Valley
1249025,Haight Ashbury
5227001,Bayview Hunters Point
0097056,Russian Hill
2347004G,West of Twin Peaks
0689016,Western Addition
3779003,South of Market
1367013,Inner Richmond
1417004A,Outer Richmond
5435041,Portola
4645003,Bayview Hunters Point
4591C125,Bayview Hunters Point
1463032,Outer Richmond
4591C003,Bayview Hunters Point
3619060,Noe Valley
4591C605,Bayview Hunters Point
1542053,Inner Richmond
1836020,Inner Sunset
2540103,West of Twin Peaks
4104031,Potrero Hill
3581081,Castro/Upper Market
1232015,Haight Ashbury
