mapblklot,analysis_neighborhood,FZP Planning Code
0683038,Japantown,RM-3
0676023,Pacific Heights,RM-3
5399023,Bayview Hunters Point,RH-1
0651021,Pacific Heights,RH-2
3748033,Financial District/South Beach,RH DTR
5461006,Bayview Hunters Point,NC-3
0306026,Tenderloin,C-3-G
4758004A,Bayview Hunters Point,RH-1
3719020,Financial District/South Beach,C-3-O(SD)
0210A002,Chinatown,CRNC
7019037,Oceanview/Merced/Ingleside,RH-1
3554091,Mission,NCT-VALENCIA
6208043,Visitacion Valley,RH-1
5428C043,Bayview Hunters Point,RH-1
6160008C,Portola,RH-1
3774241,Financial District/South Beach,SB-DTR
4336025,Mission,RH-2
0183001,Nob Hill,NCD-PACIFIC
3702392,South of Market,C-3-G
6530025,Mission,NCT-VALENCIA
6779004,Outer Mission,RH-1
5355018,Bayview Hunters Point,RH-1
5255009A,Bayview Hunters Point,RH-1
6238034,Visitacion Valley,RH-1
0813007,Tenderloin,C-3-G
7125002,Oceanview/Merced/Ingleside,RH-1
3548127,Mission,NCT-MISSION
5669003,Bernal Heights,RH-1
6521007,Mission,RH-2
5941004,Excelsior,RH-1
0183016A,Nob Hill,RH-3
4711200,Bayview Hunters Point,RH-2
0127016,Nob Hill,RM-2
3753598,South of Market,MUR
5305003,Bayview Hunters Point,RH-2
5297013,Bayview Hunters Point,RH-2
3180238,West of Twin Peaks,BR-MU
3747094,Financial District/South Beach,RH DTR
7052022,Oceanview/Merced/Ingleside,RH-1
0723043,Western Addition,RM-3
3766012,Financial District/South Beach,RH DTR
4103044,Potrero Hill,RH-2
6635055,Bernal Heights,NCD-MISSION BERNAL
7056041,Oceanview/Merced/Ingleside,RH-1
3747332,Financial District/South Beach,RH DTR
5727005,Bernal Heights,RH-1
3609126,Mission,NCT-MISSION
3744002,Financial District/South Beach,RH DTR
3911014,Mission Bay,UMU
6577023,Noe Valley,RH-2
7049049,Oceanview/Merced/Ingleside,RH-1
5613041,Bernal Heights,RH-1
3520087,South of Market,RCD
5611011,Bernal Heights,RH-2
7007001,Oceanview/Merced/Ingleside,RH-1
5740007,Bernal Heights,RH-1
5307001,Bayview Hunters Point,RH-1
3612133,Mission,RH-3
5955003A,Excelsior,RH-1
5956021,Excelsior,RH-1
4172005,Potrero Hill,NCT-2
0118041,Chinatown,RM-2
0253T001C,Nob Hill,RM-4
5501013,Bernal Heights,RH-2
6635029,Bernal Heights,RH-3
6074036,Excelsior,RH-1
5667024,Bernal Heights,RH-1
0149034,Nob Hill,RM-2
3507A001,South of Market,C-3-G
4973001,Bayview Hunters Point,RH-1
3702048A,South of Market,C-3-G
4044031,Potrero Hill,UMU
5889009,Excelsior,RH-1
6309122,Visitacion Valley,RH-1
3788074,Financial District/South Beach,CMUO
3518046,South of Market,RED-MX
0304024,Tenderloin,RC-4
3514045,Mission,NCT-3
3800006,Mission Bay,UMU
3727010,South of Market,WMUG
5554005,Bernal Heights,RH-1
6281019,Excelsior,RH-1
5980007,Portola,RH-2
4100061,Potrero Hill,RH-2
0253A001,Nob Hill,RM-4
5676024,Bernal Heights,RH-2
3789518,Financial District/South Beach,SB-DTR
4700081,Bayview Hunters Point,NC-S
6951008A,Outer Mission,RH-1
0060026,North Beach,C-2
5618036,Bernal Heights,RH-1
5740006,Bernal Heights,RH-1
0304006,Tenderloin,RC-4
5965043,Excelsior,RH-1
6396037,Excelsior,RH-1
3732272,South of Market,MUR
0151097,Nob Hill,RH-3
3589120,Mission,NCT-MISSION
4172062,Potrero Hill,NCT-2
0708021,Western Addition,NCT-FILLMORE
5426015,Bayview Hunters Point,RH-1
6170008B,Portola,RH-1
5662002,Bernal Heights,RH-1
0762026,Western Addition,RC-4
4080015,Mission,UMU
7138007,Oceanview/Merced/Ingleside,NC-1
5557010,Bernal Heights,RH-1
3737042,Financial District/South Beach,TB DTR
7148071,Oceanview/Merced/Ingleside,RH-1
3763080,Financial District/South Beach,CMUO
4940004A,Bayview Hunters Point,RH-1
0279030,Nob Hill,NCD-POLK
4969007,Bayview Hunters Point,RH-1
3547054,Mission,NCT-MISSION
0792T001A,Hayes Valley,NCT-3
6274026,Excelsior,RH-1
0808046,Hayes Valley,NCT-HAYES
3970008,Mission,UMU
3730236,South of Market,WMUG
3765023,Financial District/South Beach,RH DTR
6054027,Portola,RH-1
3640102,Mission,RH-2
5336003,Bayview Hunters Point,RH-1
6478011,Excelsior,RH-1
4273034,Mission,RH-3
0252026,Nob Hill,RM-4
3729047,South of Market,RED-MX
6516046,Mission,RTO-M
5947002,Excelsior,RH-1
0091060,Russian Hill,NCD-NORTH BEACH
5462015,Bayview Hunters Point,RH-1
3180498,West of Twin Peaks,BR-MU
3778046E,South of Market,MUG
0333018,Tenderloin,RC-4
3779094,South of Market,SALI
5863020,Portola,RH-1(D)
3153036,Outer Mission,RH-1
5428D044,Bayview Hunters Point,RH-1
6464042,Excelsior,RH-1
3774192,Financial District/South Beach,SB-DTR
4028002,Potrero Hill,RH-2
5959038,Excelsior,RH-1
7064007,Outer Mission,RH-1
6279003,Excelsior,RH-1
6416A003,Excelsior,RH-1
3533136,Mission,NCT-3
5956003,Excelsior,RH-1
3554030,Mission,RTO-M
5987017,Portola,RH-1
4262008,Mission,RH-2
5746005B,Bernal Heights,RH-2
5987022,Portola,RH-1
6796017,Outer Mission,RH-1
6062017,Portola,RH-1
3736191,Financial District/South Beach,C-3-O(SD)
6951031,Outer Mission,NC-1
6515026,Mission,RTO-M
3553063,Mission,NCT-MISSION
0689033,Western Addition,NC-3
5656005,Bernal Heights,RH-1
0814023,Tenderloin,C-3-G
5381051,Bayview Hunters Point,RH-1
3764198,Financial District/South Beach,MUO
5843019,Bernal Heights,NC-1
3745012,Financial District/South Beach,RC-4
3794031,Mission Bay,MUO
3789028,Financial District/South Beach,SB-DTR
7118037,Oceanview/Merced/Ingleside,RH-1
3750600,Financial District/South Beach,C-3-S
7076038,Oceanview/Merced/Ingleside,RH-1
0712001,Western Addition,RM-3
3730293,South of Market,RED
4938024B,Bayview Hunters Point,RH-1
5652015,Bernal Heights,RH-1
6531046,Mission,RM-2
4720100,Bayview Hunters Point,RH-2
7114033A,Oceanview/Merced/Ingleside,RH-1
9900001,Financial District/South Beach,C-2
6422028,Excelsior,RH-1(D)
6394005,Excelsior,RH-1
5387017,Bayview Hunters Point,RH-1
6052010B,Portola,RH-1
3648054,Mission,RH-3
7029017,Outer Mission,RH-1
3967049,Mission,UMU
4071019,Potrero Hill,RM-1
0674026,Pacific Heights,RM-4
4711059,Bayview Hunters Point,RH-2
3532006,Mission,UMU
5688036,Bernal Heights,RH-1
5520045,Bernal Heights,RH-1
3780006,South of Market,UMU
7108033,Oceanview/Merced/Ingleside,RH-1
0316002,Tenderloin,C-3-G
3767014,Financial District/South Beach,RH DTR
3752394,South of Market,MUR
7096B019,Outer Mission,RH-1
6439003,Excelsior,RH-1(D)
6021031,Excelsior,RH-1
3634049,Mission,RM-1
5648031,Bernal Heights,RH-1
5960024,Excelsior,RH-1
5971009,Portola,RH-1
5940027B,Excelsior,RH-1
5407024,Bayview Hunters Point,RH-1
6992029,Oceanview/Merced/Ingleside,RH-1
6786014,Outer Mission,RH-1
4162085,Potrero Hill,NC-1
4145039,Mission,RH-2
5322033,Bayview Hunters Point,RH-2
0127029,Nob Hill,RM-2
4942031,Bayview Hunters Point,RH-1
4268003,Mission,RH-3
5642013,Bernal Heights,RH-2
4028004,Potrero Hill,RH-2
4101019,Potrero Hill,RH-2
6348015,Excelsior,RH-1
3208A001W,Outer Mission,RH-1
3751420,South of Market,CMUO
3768090,Financial District/South Beach,RH DTR
5413016,Bayview Hunters Point,RH-1
7005011,Oceanview/Merced/Ingleside,RH-1
4107062,Potrero Hill,UMU
4970021,Bayview Hunters Point,RH-1
3980057,Potrero Hill,UMU
6490014C,Excelsior,RH-1
4147014,Mission,RH-3
0148016,Chinatown,RM-2
4720101,Bayview Hunters Point,RH-2
3612068,Mission,RH-3
7381161,Lakeshore,RH-1
4106030,Potrero Hill,UMU
7085010,Oceanview/Merced/Ingleside,RH-1
5956027,Excelsior,RH-1
0063039,North Beach,RM-1
0716012,Tenderloin,RC-4
4008025,Potrero Hill,UMU
5411023,Bayview Hunters Point,RH-2
0144034,North Beach,RM-2
6005004,Excelsior,RH-1
4146022,Mission,RH-2
7094055,Oceanview/Merced/Ingleside,RH-1
6094006A,Excelsior,RH-1
6781014,Outer Mission,RH-1
0146019,Chinatown,NCD-NORTH BEACH
0275B001,Nob Hill,RC-4
7086015,Oceanview/Merced/Ingleside,RH-1
6115040,Portola,RH-1
5612012,Bernal Heights,RH-1
3615087,Mission,RTO-M
4152045,Mission,RH-2
0688042,Japantown,RM-4
0724045,Western Addition,RM-3
3746008,Financial District/South Beach,RC-4
0780034,Western Addition,RM-4
5745026,Bernal Heights,RH-2
4107002B,Potrero Hill,RH-3
5879014,Portola,RH-1
4030013,Potrero Hill,RH-2
3729161,South of Market,RED-MX
6119027,Portola,RH-1
5410029,Bayview Hunters Point,RH-1
8701004,Mission Bay,MB-O
3511180,Mission,RED
3615083,Mission,NC-1
7079005,Oceanview/Merced/Ingleside,RH-1
5353B012B,Bayview Hunters Point,RH-1
0260017,Financial District/South Beach,C-3-O
0209011,Chinatown,CVR
4791002A,Bayview Hunters Point,RH-1
6309110,Visitacion Valley,RH-1
3771004,Financial District/South Beach,SB-DTR
4212018,Mission,NCT-24TH-MISSION
7126A012,Oceanview/Merced/Ingleside,NC-S
0793104,Hayes Valley,NCT-3
0336003,Tenderloin,RC-4
6450015,Excelsior,RH-1(D)
4106008,Potrero Hill,RH-3
5523053,Bernal Heights,RH-2
0300025,Nob Hill,RC-4
5309029,Bayview Hunters Point,RH-1
5413012,Bayview Hunters Point,RH-1
5613010,Bernal Heights,RH-1
6778026,Outer Mission,RH-1
3716021,Financial District/South Beach,C-3-O(SD)
6404028,Excelsior,RH-1
6467024,Excelsior,RH-1
6990014,Oceanview/Merced/Ingleside,RH-1
6344035,Excelsior,RH-1
4214002,Mission,RH-2
6499013,Excelsior,RH-1(D)
4070007,Potrero Hill,RM-1
5435032,Bayview Hunters Point,RH-1
5933002C,Portola,RH-1
6362008,Visitacion Valley,RH-1
6634040,Noe Valley,RH-3
3755113,South of Market,RED
0101031,Chinatown,NCD-NORTH BEACH
3753169,South of Market,MUR
4273016,Mission,RH-2
3728026,South of Market,RED-MX
5920003,Portola,RH-1
3752192,South of Market,MUR
6235001B,Visitacion Valley,RH-1
5936004,Excelsior,RH-1
0754029,Western Addition,RM-3
6449012,Excelsior,RH-1(D)
3594026,Mission,RH-3
6462012,Excelsior,RH-1
0807063,Hayes Valley,NCT-HAYES
0236006,Financial District/South Beach,C-3-O
7015018,Oceanview/Merced/Ingleside,RH-1
5713046,Bernal Heights,RH-2
6247005,Visitacion Valley,NCD-LELAND
3778004,South of Market,CMUO
0685052,Japantown,NCD-JAPANTOWN
0040012,North Beach,RM-3
0288032,Financial District/South Beach,C-3-O
3833016,Mission Bay,UMU
3789858,Financial District/South Beach,MUO
5326027,Bayview Hunters Point,RH-1
3702045,South of Market,C-3-G
3773577,Financial District/South Beach,SB-DTR
4274002,Mission,RH-3
7114028,Oceanview/Merced/Ingleside,RH-1
0768021,Western Addition,NCT-3
5290002,Bayview Hunters Point,RH-2
5979026,Portola,RH-1
5933037,Portola,RH-1
6421006,Excelsior,RH-1(D)
5635027,Bernal Heights,RH-1
0336002,Tenderloin,RC-4
5404048,Bayview Hunters Point,RH-1
4089043,Mission,RH-2
7092026,Oceanview/Merced/Ingleside,RH-1
4078031,Mission,RH-2
3757085,South of Market,SALI
0281016,Nob Hill,RC-4
6120012B,Portola,RH-1
6309031D,Visitacion Valley,RH-2
6519034,Mission,RH-3
7016043,Oceanview/Merced/Ingleside,RH-1
4084049,Mission,UMU
6480013,Excelsior,RH-1
5682002,Bernal Heights,NCD-CORTLAND AVENUE
5978033,Portola,RH-1
6092020,Excelsior,RH-1
6465032,Excelsior,RH-1
4283B078,Potrero Hill,RH-1
0832031,Hayes Valley,NCT-HAYES
4216002,Potrero Hill,RM-2
3755117,South of Market,RED
6197001,Visitacion Valley,RH-1
6529012B,Mission,RTO-M
3722083,Financial District/South Beach,C-3-O(SD)
6112006,Portola,RH-1
3755249,South of Market,RED
5339006,Bayview Hunters Point,RH-2
0265003,Financial District/South Beach,C-3-O
5642031,Bernal Heights,RH-2
4102072,Potrero Hill,MUR
5657010,Bernal Heights,RH-1
5938003,Excelsior,RH-1
5505023,Bernal Heights,RH-2
6172028,Portola,RM-1
6803018,Outer Mission,RH-1
6410024,Excelsior,NCD-EXCELSIOR
0256T001M,Nob Hill,RM-4
6968062,Outer Mission,NCD-EXCELSIOR
3773291,Financial District/South Beach,SB-DTR
0663012,Pacific Heights,RH-2
4993018,Bayview Hunters Point,RH-1
4336007,Mission,RH-2
4041011,Potrero Hill,UMU
8954006,Treasure Island,YBI-R
6692049,Bernal Heights,RH-2
5529043,Bernal Heights,RH-2
3731099,South of Market,MUG
0041008,North Beach,NCD-NORTH BEACH
3145049,Outer Mission,NC-1
4028006,Potrero Hill,RH-2
3977005C,Potrero Hill,RH-3
3787052,South of Market,CMUO
7381077,Lakeshore,RH-1
7090011,Oceanview/Merced/Ingleside,RH-1
5686021,Bernal Heights,RH-1
0677072,Pacific Heights,NCT-FILLMORE
6784034,Outer Mission,RH-1
6997028,Oceanview/Merced/Ingleside,RH-1
3574092,Mission,RH-3
5654015,Bernal Heights,RH-1
3617118,Mission,RM-2
3505054,Mission,NCT-3
6794020,Outer Mission,RH-1
0342042,Tenderloin,C-3-G
6339001E,Excelsior,RH-1
3589162,Mission,RTO-M
0059005,Financial District/South Beach,RC-4
3553101,Mission,UMU
0665018,Western Addition,RH-3
7032A019,Outer Mission,RH-1
5382043,Bayview Hunters Point,RH-1
6165014,Visitacion Valley,RH-1
6568021,Mission,RH-3
3953006,Mission Bay,UMU
7006045,Oceanview/Merced/Ingleside,RH-1
4991675,Bayview Hunters Point,C-2
3786263,South of Market,CMUO
5378035,Bayview Hunters Point,RH-1
3777107,South of Market,CMUO
3794077,Mission Bay,MUO
6162017,Portola,RH-1
6472030,Excelsior,NCD-EXCELSIOR
5520043,Bernal Heights,RH-1
4101065,Potrero Hill,MUR
7147015,Oceanview/Merced/Ingleside,RH-1
0161041,Chinatown,CRNC
6396016,Excelsior,RH-1
3570097,Mission,UMU
3211008A,Outer Mission,NC-1
0166009,Financial District/South Beach,C-2
7130030,Oceanview/Merced/Ingleside,RH-1
3786161,South of Market,CMUO
4224006,Potrero Hill,RH-2
7079012,Oceanview/Merced/Ingleside,RH-1
6248027,Visitacion Valley,RH-1
3774150,Financial District/South Beach,SB-DTR
5428E020,Bayview Hunters Point,RH-1
6250022,Visitacion Valley,NCD-LELAND
0270006,Financial District/South Beach,C-3-O
4069015,Potrero Hill,RH-2
3640056,Mission,RH-2
6022018,Excelsior,RH-1
3788131,Financial District/South Beach,CMUO
3779120,South of Market,SALI
4591B050,Bayview Hunters Point,RM-1
3773010,Financial District/South Beach,SB-DTR
4084008,Mission,RH-2
7159008,Outer Mission,RH-1
7064A013,Outer Mission,RH-1
4334021,Mission,RH-2
6297028,Visitacion Valley,NC-1
0151001,Nob Hill,RH-3
3995105,Potrero Hill,UMU
0767003,Western Addition,C-2
3574070,Mission,RH-3
0749019,Western Addition,NCT-FILLMORE
7029A007,Outer Mission,RH-1
4591A013,Bayview Hunters Point,RM-1
6362009,Visitacion Valley,RH-1
5544022,Bernal Heights,RH-2
7020029,Oceanview/Merced/Ingleside,RH-1
3554043,Mission,RTO-M
7044B009,Outer Mission,RH-1
3511128,Mission,RED
3703248,South of Market,C-3-G
6967012,Outer Mission,RH-1
6998038,Oceanview/Merced/Ingleside,RH-1
5936013,Excelsior,RH-1
5610025,Bernal Heights,RH-2
4161075,Potrero Hill,RH-2
7019033,Oceanview/Merced/Ingleside,RH-1
3784025,South of Market,SALI
5895001,Excelsior,RH-1
6021005,Excelsior,RH-1
6596001B,Bernal Heights,NCD-MISSION BERNAL
0665009,Western Addition,NC-3
0039058,North Beach,RM-3
6319001C,Visitacion Valley,RH-1
6282011,Excelsior,RH-2
7167008,Outer Mission,RH-1
3751523,South of Market,CMUO
7029003A,Outer Mission,RH-1
7318001,Lakeshore,PM-R
5326021,Bayview Hunters Point,RH-1
5867031,Excelsior,RH-1
3573046,Mission,UMU
3768136,Financial District/South Beach,RH DTR
5841012A,Bernal Heights,RH-1(D)
6596013B,Bernal Heights,RH-2
3632013,Mission,RM-1
5701025,Bernal Heights,RH-1
0287008,Financial District/South Beach,C-3-O
6524035,Mission,RH-2
3567030,Mission,RM-1
0254080,Nob Hill,RM-4
6993019,Oceanview/Merced/Ingleside,RH-1
4645019,Bayview Hunters Point,NC-2
7009034,Oceanview/Merced/Ingleside,RH-1
5898005,Excelsior,RH-1
6017001,Excelsior,RH-1
3949005,Mission Bay,UMU
5918002,Portola,RH-1
3511111,Mission,RED
5068002C,Visitacion Valley,RH-1
4967014,Bayview Hunters Point,RH-1
6482041,Excelsior,RH-1
4335001F,Mission,RH-2
3775058,Financial District/South Beach,SPD
7017037,Oceanview/Merced/Ingleside,RH-1
3762139,South of Market,CMUO
3633074,Mission,RH-3
5988024,Portola,RH-1
6423136,Excelsior,NC-S
4936020,Bayview Hunters Point,NC-1
0340017,Tenderloin,RC-4
5404060,Bayview Hunters Point,RH-1
3956011,Mission Bay,UMU
3609085,Mission,RTO-M
5720035,Bernal Heights,RH-2
4045008,Potrero Hill,UMU
4263009,Mission,RH-3
0662055,Pacific Heights,RH-2
4991423,Bayview Hunters Point,C-2
6086013C,Excelsior,RH-1
5922027,Portola,RH-2
4274044,Mission,RH-3
4086002,Mission,RM-1
6018002,Excelsior,RH-1
5946018,Excelsior,RH-1
7094022A,Oceanview/Merced/Ingleside,RH-1
0837095,Hayes Valley,NCT-3
3708175,Financial District/South Beach,C-3-O(SD)
6008033,Excelsior,RH-1
4969052,Bayview Hunters Point,RH-1
5933024,Portola,RH-1
0839005B,Hayes Valley,NCT-HAYES
5917020,Portola,RH-1
3740036,Financial District/South Beach,TB DTR
5887004,Excelsior,RH-1
4098002B,Potrero Hill,RH-2
0779091,Western Addition,RM-4
3776153,South of Market,CMUO
3751175,South of Market,MUR
6281033,Excelsior,RH-1
5721049,Bernal Heights,RH-2
6112024,Portola,RH-1
6121015,Portola,RH-1
4104041,Potrero Hill,RH-2
3647057,Mission,RH-3
5948008C,Excelsior,RH-1
6567037,Mission,RH-2
3636037,Mission,RTO-M
4052003,Potrero Hill,P70-MU
6965B026,Outer Mission,RH-1
6171033,Portola,RH-1
7040B002,Outer Mission,RH-1
5069015,Bayview Hunters Point,RH-1
6374037,Visitacion Valley,RH-1
3703201,South of Market,C-3-G
5720065,Bernal Heights,RH-2
3962015,Mission,UMU
3794021,Mission Bay,MUO
3785233,Mission Bay,MUG
6795A008,Outer Mission,RH-1
3948004,Mission Bay,UMU
3639039,Mission,UMU
5335A060,Bayview Hunters Point,RH-1
0837068,Hayes Valley,NCT-3
6954040,Outer Mission,NCD-EXCELSIOR
0693019,Tenderloin,RC-4
7005019,Oceanview/Merced/Ingleside,RH-1
6092021A,Excelsior,RH-1
0700027,Japantown,NCD-JAPANTOWN
7381185,Lakeshore,RH-1
4069028,Potrero Hill,RH-2
3576092,Mission,NCT-MISSION
5864012,Portola,RH-1
4009008L,Potrero Hill,RH-3
3505023,Mission,NCT-3
4281A023,Potrero Hill,RH-2
7106030,Oceanview/Merced/Ingleside,RH-1
3633003,Mission,RH-3
5254008,Bayview Hunters Point,RH-1
5718028,Bernal Heights,RH-2
6568040,Mission,NCT-VALENCIA
3703101,South of Market,C-3-G
5742028A,Bernal Heights,RH-1
3736A001,Financial District/South Beach,TB DTR
3146010,Outer Mission,RH-1
0171018,Financial District/South Beach,RC-4
0311016,Financial District/South Beach,C-3-O
4104057,Potrero Hill,RH-2
3984020,Potrero Hill,RH-3
0834032,Hayes Valley,C-3-G
0052041,North Beach,NCD-NORTH BEACH
3787166,South of Market,CMUO
7044B026,Outer Mission,RH-1
0816009,Hayes Valley,NCT-HAYES
6781018E,Outer Mission,RH-1
6273024B,Excelsior,RH-2
5549090,Bernal Heights,RH-1
5940027A,Excelsior,RH-1
6991039,Oceanview/Merced/Ingleside,RH-1
6279001,Excelsior,RH-2
1522039,Outer Richmond,RM-1
0814251,Tenderloin,C-3-G
5730014,Bernal Heights,RH-1
5946019,Excelsior,RH-1
4075020,Potrero Hill,RH-2
6571011,Mission,NCT-MISSION
3752109,South of Market,MUR
6967020,Outer Mission,RH-1
5676022,Bernal Heights,RH-2
6011020,Excelsior,RH-1
7009019,Oceanview/Merced/Ingleside,RH-1
3642021,Mission,NCT-MISSION
4102021,Potrero Hill,RH-2
3749187,Financial District/South Beach,RH DTR
4098041,Potrero Hill,RH-2
4081075,Mission,RH-2
5908028,Excelsior,RH-1
7129039,Oceanview/Merced/Ingleside,RH-1
7069049,Oceanview/Merced/Ingleside,RH-1
0774022,Western Addition,RM-4
6485036,Excelsior,RH-1
5649011,Bernal Heights,RH-1
5647024,Bernal Heights,RH-1
3545040,Mission,RH-1
7056010,Oceanview/Merced/Ingleside,RH-1
6489024,Excelsior,RH-1
6526036,Mission,RH-3
0115055,North Beach,RH-3
5670030,Bernal Heights,RH-2
3595032,Mission,RTO-M
0212045,Nob Hill,RM-3
6516025,Mission,NCT-MISSION
6345003,Excelsior,RH-1
7070031,Oceanview/Merced/Ingleside,RH-1
7017017,Oceanview/Merced/Ingleside,RH-1
3735065,Financial District/South Beach,C-3-O(SD)
3707064,Financial District/South Beach,C-3-O(SD)
7037015,Oceanview/Merced/Ingleside,RH-1
6233043,Visitacion Valley,RH-1
0167010,Financial District/South Beach,RC-4
6530043,Mission,NCT-VALENCIA
5870025,Excelsior,RH-1
5921021,Portola,RH-1
4052006,Potrero Hill,P70-MU
0275011,Nob Hill,RC-4
5978003,Portola,RH-1
7166024,Outer Mission,RH-1
0310020,Financial District/South Beach,C-3-R
4081026,Mission,UMU
6274020,Excelsior,RH-1
5686017,Bernal Heights,RH-1
3212040,Outer Mission,RH-1
6688013,Bernal Heights,RH-2
7006039,Oceanview/Merced/Ingleside,RH-1
3719450,Financial District/South Beach,C-3-O(SD)
4073017,Potrero Hill,RH-2
3208A001F,Outer Mission,RH-1
4093062,Potrero Hill,RH-2
6407001,Excelsior,RH-1
7381005,Lakeshore,RH-1
6234012,Visitacion Valley,RH-1
0052012,North Beach,NCD-NORTH BEACH
5810005,Bernal Heights,RH-1
7069017,Oceanview/Merced/Ingleside,RH-1
5054A130,Bayview Hunters Point,NC-S
5933006A,Portola,RH-1
7331133,Lakeshore,RM-1
5927025,Portola,RH-1
5353A007,Bayview Hunters Point,RH-1
4160045,Potrero Hill,RH-2
5737023,Bernal Heights,RH-1
3211037,Outer Mission,NC-1
6688045,Bernal Heights,NC-2
0318004,Tenderloin,RC-4
4063003D,Potrero Hill,RH-2
5651009,Bernal Heights,RH-1
0686023B,Japantown,RM-3
0088019,North Beach,NCD-NORTH BEACH
6323008A,Visitacion Valley,RH-1
3722257,Financial District/South Beach,C-3-O
3598019,Mission,RH-3
7143022,Outer Mission,RH-1
5319052,Bayview Hunters Point,RH-2
3983044,Potrero Hill,RH-3
6019007A,Excelsior,RH-1
5939009,Excelsior,RH-1
4143049,Mission,RH-2
5900A003,Portola,RH-1
5321021,Bayview Hunters Point,RH-2
5961041,Excelsior,RH-1
4788022A,Bayview Hunters Point,RH-2
5079003,Bayview Hunters Point,RH-1
3752501,South of Market,MUR
3212027,Outer Mission,RH-1
0320001,Tenderloin,RC-4
6120020B,Portola,RH-2
6990035,Oceanview/Merced/Ingleside,RH-1
5334064,Bayview Hunters Point,RH-1
1255034,Haight Ashbury,RH-3
0733018,Western Addition,NC-S
5720042,Bernal Heights,RH-2
3209020I,Outer Mission,RH-1
5353008,Bayview Hunters Point,RH-1
6402003,Excelsior,RH-1
6243006,Visitacion Valley,RH-1
6007027C,Excelsior,RH-1
0157075,Nob Hill,RH-3
7059036,Oceanview/Merced/Ingleside,RH-1
6532032A,Mission,RH-3
5966007,Excelsior,RH-1
5382011,Bayview Hunters Point,RH-1
0707021,Western Addition,RM-3
0711012,Western Addition,RM-3
0318023,Tenderloin,RC-4
3967005,Mission,UMU
3546045,Mission,RTO-M
3642070,Mission,RTO-M
5549102,Bernal Heights,RH-2
0740036,Tenderloin,RC-4
3732173,South of Market,MUR
3753241,South of Market,MUR
3786104,South of Market,CMUO
3784109,South of Market,RED-MX
5871012,Excelsior,RH-1
3978002,Potrero Hill,MUR
5574012,Bernal Heights,RH-1
4022029,Mission,UMU
0280032,Nob Hill,RC-4
5739019,Bernal Heights,RH-1
5956024,Excelsior,RH-1
3733148,South of Market,MUR
4262002,Mission,RH-2
0128021,Nob Hill,RM-2
5655006,Bernal Heights,RH-1
7091006,Oceanview/Merced/Ingleside,RH-1
7054019,Oceanview/Merced/Ingleside,RH-1
6094006C,Excelsior,RH-1
6165012,Visitacion Valley,RH-1
0080011,Financial District/South Beach,C-2
3731202,South of Market,MUG
4073024,Potrero Hill,RH-2
6092008,Excelsior,RH-1
7106042D,Oceanview/Merced/Ingleside,RH-1
4336002,Mission,RH-2
5054ACOMB,Bayview Hunters Point,NC-S
4337001D,Mission,RH-2
0296009,Nob Hill,C-3-G
5683005,Bernal Heights,RH-1
4075004,Potrero Hill,RH-2
6782008,Outer Mission,RH-1
4083022,Mission,UMU
5355036A,Bayview Hunters Point,RH-1
6248039,Visitacion Valley,RH-1
5744005A,Bernal Heights,RH-2
4621018,Bayview Hunters Point,MUG
6500002,Excelsior,RH-1(D)
7009011,Oceanview/Merced/Ingleside,RH-1
3731221,South of Market,RED
7031012D,Outer Mission,RH-1
4991282,Bayview Hunters Point,C-2
5523012A,Bernal Heights,RH-2
3995035,Potrero Hill,UMU
3749003,Financial District/South Beach,RH DTR
5471020,Bayview Hunters Point,RH-1
3180770,West of Twin Peaks,BR-MU
3702058,South of Market,C-3-G
0306029,Tenderloin,C-3-G
5802041,Bernal Heights,RH-3
7054036D,Oceanview/Merced/Ingleside,RH-1
5699009,Bernal Heights,RH-1
5465026,Portola,RH-1
6191061,Visitacion Valley,RH-1
6421028,Excelsior,RH-1(D)
6083006A,Excelsior,RH-2
5967018,Excelsior,RH-1
7116022,Oceanview/Merced/Ingleside,RH-1
0148032,Chinatown,RM-2
4085052,Mission,RH-2
4167013,Potrero Hill,UMU
4763021A,Bayview Hunters Point,RH-2
6786003,Outer Mission,RH-1
5644007,Bernal Heights,RH-2
4266067,Mission,RH-2
4757050,Bayview Hunters Point,RH-1
7054048,Oceanview/Merced/Ingleside,RH-1
4142007,Mission,RM-1
7047050,Oceanview/Merced/Ingleside,RH-1
3511044,Mission,RED
0707002,Western Addition,NCT-FILLMORE
7007020,Oceanview/Merced/Ingleside,RH-1
4591A009,Bayview Hunters Point,M-1
7130028,Oceanview/Merced/Ingleside,RH-1
5839020,Bernal Heights,RH-1(D)
3517033,South of Market,WMUG
7110A009,Outer Mission,RH-1
3726191,South of Market,RED
3749184,Financial District/South Beach,RH DTR
6965A013,Outer Mission,RH-1
5353A011C,Bayview Hunters Point,RH-1
0116023,North Beach,NCD-NORTH BEACH
0287005,Financial District/South Beach,C-3-O
4160040,Potrero Hill,RH-2
5874019,Portola,RH-1(D)
7064A024A,Outer Mission,RH-1
5358006,Bayview Hunters Point,RH-2
7067040,Oceanview/Merced/Ingleside,RH-1
7153052,Outer Mission,RH-1
3519106,South of Market,NCT-FOLSOM
6518010,Mission,RTO-M
7044A006E,Outer Mission,RH-1
0166081,Financial District/South Beach,C-2
4283B013,Potrero Hill,RH-1
5667006,Bernal Heights,RH-1
