mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
3557064,120,LANDERS,ST,Castro/Upper Market,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,8,Rafael Mandelman,40,379.8258267817541
2656044,203,CORBETT,AVE,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2208.754156329984
0304024,644,GEARY,ST,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",3,Danny Sauter,130,324.3505459057401
3514045,140,SOUTH VAN NESS,AVE,Mission,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,6,Matt Dorsey,85,1036.7127208669176
3800006,888,07TH,ST,Mission Bay,UMU,URBAN MIXED USE,6,Matt Dorsey,68,2804.109194898303
3727010,1114,HOWARD,ST,South of Market,WMUG,WSOMA MIXED USE-GENERAL,6,Matt Dorsey,55,1181.24163582283
1666003,711,23RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2213.400032696835
5554005,20,SAMOSET,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4069.418817065546
6281019,695,MOSCOW,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4600.452746728893
5980007,246,GIRARD,ST,Portola,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,3510.157058257875
4100061,658,MISSOURI,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,1157.1664249841508
0253A001,1177,CALIFORNIA,ST,Nob Hill,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",3,Danny Sauter,65,1674.8621594874446
2067002,1843,30TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3013.975501875134
5676024,357,ELSIE,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1283.6736465988195
3789518,219,BRANNAN,ST,Financial District/South Beach,SB-DTR,SOUTH BEACH DOWNTOWN RESIDENTIAL,6,Matt Dorsey,200,900.7282887539543
3605068,3919,20TH,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,242.59177495317633
1272005,957,COLE,ST,Haight Ashbury,NCD,COLE VALLEY NEIGHBORHOOD COMMERCIAL DISTRICT,8,Rafael Mandelman,65,275.42748012707204
2806040,4331,23RD,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3549.9864727935974
1671005,835,28TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2546.621164892885
0525019,2418,POLK,ST,Russian Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,85,575.774753001505
0620009,1644,CLAY,ST,Russian Hill,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",3,Danny Sauter,85,738.8976947963974
4700081,1185,INGALLS,ST,Bayview Hunters Point,NC-S,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER",10,Shamann Walton,40,3688.3185235132637
6951008A,462,OTSEGO,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,814.872615735422
1266008,222,CARL,ST,Inner Sunset,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,116.46315936300023
